C2H2_14r176, C[0], C[1], H[2], H[3], 
Densities, 2.082274268601753, 1.540089114498976, 0.001067067796122197, 9.746909114164561e-05, 
Time[fs], 62.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.623527919987993
X Velocity[A/fs], -0.160676, 0.160694, -0.805771, 0.8182,  
Y Velocity[A/fs],0.000298933, 0.00057795, 0.0443864, -0.00992049,  
Z Velocity[A/fs],0.000543144, 0.00471613, -0.0584613, -0.0352368,  
Speed[A/fs],0.160677, 0.160764, 0.809108, 0.819019, 

C2H2_14r161, C[0], C[1], H[2], H[3], 
Densities, 1.805326679757109, 1.945681444672263, 0.0006259543295877954, 0.0001109393407356447, 
Time[fs], 64.000000, 65.000000, 26.500000, 27.000000, 
Density Sum, 3.751745018099696
X Velocity[A/fs], -0.157294, 0.151491, -0.785047, 0.791162,  
Y Velocity[A/fs],0.00507794, 0.00487509, -0.103223, 0.0873242,  
Z Velocity[A/fs],0.00834358, 0.00092981, -0.0608105, 0.0677905,  
Speed[A/fs],0.157597, 0.151572, 0.794136, 0.798848, 

C2H2_14r17, C[0], C[1], H[2], H[3], 
Densities, 1.821742270921424, 1.889355076582878, 0.0006824236190815763, 4.976024484995003e-05, 
Time[fs], 62.500000, 65.500000, 26.500000, 26.500000, 
Density Sum, 3.711829531368233
X Velocity[A/fs], -0.162672, 0.151472, -0.798268, 0.794176,  
Y Velocity[A/fs],-0.00282174, -0.00799912, 0.0284512, -0.0187494,  
Z Velocity[A/fs],-0.000640013, 0.000827797, -0.0802437, 0.0741061,  
Speed[A/fs],0.162698, 0.151686, 0.802795, 0.797847, 

C2H2_14r2, C[0], C[1], H[2], H[3], 
Densities, 1.918613295354811, 1.786078864162912, 0.0005359518880780632, 3.66717270342144e-05, 
Time[fs], 64.000000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.705264783132835
X Velocity[A/fs], -0.156326, 0.155258, -0.786369, 0.793705,  
Y Velocity[A/fs],0.00410084, 0.00480482, -0.0867615, 0.0715364,  
Z Velocity[A/fs],0.00206286, 0.00145655, -0.0908905, 0.105514,  
Speed[A/fs],0.156393, 0.155339, 0.796344, 0.803877, 

C2H2_14r43, C[0], C[1], H[2], H[3], 
Densities, 1.92283519690984, 1.777041941300242, 0.0007664080386237201, 3.970589685171782e-05, 
