C2H2_14r1, C[0], C[1], H[2], H[3],
Densities, 1.902957530637365, 1.753135432640588, 0.00078561607281926, 8.01388635376314e-05,
Time[fs], 64.500000, 62.500000, 26.500000, 26.500000,
Density Sum, 3.65695871821431
X Velocity[A/fs], -0.153478, 0.163936, -0.79519, 0.801159,
Y Velocity[A/fs],-0.00596373, 0.00297886, 0.00212931, -0.0813196,
Z Velocity[A/fs],0.00535917, 0.00736751, 0.0877524, -0.131854,
Speed[A/fs],0.153687, 0.164129, 0.80002, 0.815999,

# NOTE: THIS IS A COPY OF THE SAME RUN BUT WITH A SHORTER TIME FRAME FOR TESTING (ONLY 0.5 AND 0.0 fs)
C2H2_short_test, C[0], C[1], H[2], H[3],
Densities, 3.743575758204544, 3.73489015396031, 1.264333638778682, 1.257200868481805,
Time[fs], 0.500000, 0.500000, 0.500000, 0.500000,
Density Sum, 10.00000041942534
X Velocity[A/fs], -0.00578124, -0.0028736, -0.00553552, 0.00614512,
Y Velocity[A/fs],0.00656715, -0.00209793, -0.00770847, -0.00927514,
Z Velocity[A/fs],0.000644362, -0.00373817, 0.0270845, -0.0272929,
Speed[A/fs],0.00877299, 0.0051607, 0.028699, 0.0294736,
