C2H2_proton_x1z1, C2H2[0][1][2][3], H[4], 
Densities, 9.517677259562754, 0.3441883982490715, 
Time[fs], 100.000000, 17.000000, 
Density Sum, 9.861865657811826
X Velocity[A/fs], 0.0230466, 0.110241,  
Y Velocity[A/fs],-0.013554, 0.0526294,  
Z Velocity[A/fs],0.00846855, -0.673731,  
Speed[A/fs],0.0280459, 0.684716, 

C2H2_proton_x0z2, C2H2[0][1][2][3], H[4], 
Densities, 8.985531065963334, 0.5882282662715722, 
Time[fs], 100.000000, 25.000000, 
Density Sum, 9.573759332234907
X Velocity[A/fs], 0.00469741, -0.0497828,  
Y Velocity[A/fs],-0.0480696, 0.452208,  
Z Velocity[A/fs],0.0152519, 0.112844,  
Speed[A/fs],0.0506495, 0.468726, 

C2H2_proton_x3z3, C2H2[0][1][2][3], H[4], 
Densities, 9.38917884631096, 0.500129549609034, 
Time[fs], 100.000000, 18.000000, 
Density Sum, 9.889308395919993
X Velocity[A/fs], -0.00172166, 0.0333194,  
Y Velocity[A/fs],0.00665807, -0.643291,  
Z Velocity[A/fs],-0.00637753, 0.227015,  
Speed[A/fs],0.00937907, 0.682985, 

C2H2_proton_x0z0, C2H2[0][1][2][3], H[4], 
Densities, 9.250863060737855, 0.4470200687485339, 
Time[fs], 100.000000, 18.500000, 
Density Sum, 9.697883129486389
X Velocity[A/fs], -0.00177313, -0.0276137,  
Y Velocity[A/fs],0.00494667, -0.629756,  
Z Velocity[A/fs],-0.00373051, -0.245488,  
Speed[A/fs],0.00644439, 0.676476, 

C2H2_proton_x0z1, C2H2[0][1][2][3], H[4], 
Densities, 9.238980555478692, 0.4638417309453345, 
Time[fs], 100.000000, 21.000000, 
Density Sum, 9.702822286424027
X Velocity[A/fs], 0.000138387, -0.0534864,  
Y Velocity[A/fs],0.00611118, -0.443449,  
Z Velocity[A/fs],0.0154225, -0.491768,  
Speed[A/fs],0.0165897, 0.664337, 

C2H2_proton_x2z0, C2H2[0][1][2][3], H[4], 
Densities, 9.396985692773352, 0.4442296518491695, 
Time[fs], 100.000000, 17.000000, 
Density Sum, 9.841215344622523
X Velocity[A/fs], 0.000426278, 0.0184013,  
Y Velocity[A/fs],-0.00168677, -0.701307,  
Z Velocity[A/fs],0.00134531, -0.144628,  
Speed[A/fs],0.00219926, 0.716302, 

C2H2_proton_x1z3, C2H2[0][1][2][3], H[4], 
Densities, 9.250090001617535, 0.6273763419350162, 
Time[fs], 25.500000, 17.000000, 
Density Sum, 9.877466343552552
X Velocity[A/fs], 0.0069337, 0.106715,  
Y Velocity[A/fs],-0.0170191, -0.0653406,  
Z Velocity[A/fs],-0.0181597, 0.663055,  
Speed[A/fs],0.025836, 0.674758, 

C2H2_proton_x0z4, C2H2[0][1][2][3], H[4], 
Densities, 9.236051204680704, 0.4477494346916867, 
Time[fs], 100.000000, 18.500000, 
Density Sum, 9.683800639372391
X Velocity[A/fs], -0.00171248, 0.00672642,  
Y Velocity[A/fs],0.00479416, -0.631302,  
Z Velocity[A/fs],0.00297558, 0.236244,  
Speed[A/fs],0.00589666, 0.674091, 

C2H2_proton_x3z4, C2H2[0][1][2][3], H[4], 
Densities, 9.547996893337253, 0.3822084658266907, 
Time[fs], 100.000000, 16.500000, 
Density Sum, 9.930205359163944
X Velocity[A/fs], 0.000271937, -0.0202591,  
Y Velocity[A/fs],0.00553935, -0.734341,  
Z Velocity[A/fs],0.00366535, 0.0603299,  
Speed[A/fs],0.0066478, 0.737094, 

C2H2_proton_x1z4, C2H2[0][1][2][3], H[4], 
Densities, 9.490003530276395, 0.3578249364407687, 
Time[fs], 100.000000, 19.000000, 
Density Sum, 9.847828466717164
X Velocity[A/fs], 0.00233465, 0.0479829,  
Y Velocity[A/fs],0.00371538, -0.60826,  
Z Velocity[A/fs],-0.0156634, 0.369467,  
Speed[A/fs],0.0162664, 0.713294, 

C2H2_proton_x3z0, C2H2[0][1][2][3], H[4], 
Densities, 9.50054803011111, 0.4269324551470138, 
Time[fs], 100.000000, 17.000000, 
Density Sum, 9.927480485258124
X Velocity[A/fs], -0.00450316, 0.00345984,  
Y Velocity[A/fs],0.00260716, -0.722465,  
Z Velocity[A/fs],-0.00265487, -0.126017,  
Speed[A/fs],0.00584158, 0.733381, 

C2H2_proton_x3z2, C2H[0][1][2], H[3], H[4], 
Densities, 8.716700969288768, 0.6035092587619387, 0.6076797348887314, 
Time[fs], 100.000000, 22.500000, 34.000000, 
Density Sum, 9.927889962939439
X Velocity[A/fs], -0.00411448, -0.248329, 0.236768,  
Y Velocity[A/fs],-0.00608634, -0.448893, -0.184981,  
Z Velocity[A/fs],-0.000358897, -0.198772, 0.179327,  
Speed[A/fs],0.00735536, 0.550165, 0.349907, 

C2H2_proton_x2z2, C2H[0][1][2], H[3], H[4], 
Densities, 8.75449627111864, 0.5675553242990172, 0.5060814775126353, 
Time[fs], 100.000000, 43.000000, 20.000000, 
Density Sum, 9.828133072930292
