C2H6_10_5r3, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.279234025198589, 0.2463080523460233, 0.5051993454752336, 0.3732326159043128, 0.2453181842219571, 0.08635136016537019, 0.3292513846761309, 
Time[fs], 74.000000, 45.000000, 35.000000, 50.000000, 47.500000, 37.500000, 53.000000, 
Density Sum, 9.064894967987616
X Velocity[A/fs], 0.00520074, 0.288459, -0.442843, 0.00418123, -0.271117, 0.430039, 0.0151528,  
Y Velocity[A/fs],0.00172842, 0.224331, 0.1061, 0.257663, -0.21749, -0.14687, -0.222838,  
Z Velocity[A/fs],-0.0100335, 0.253749, 0.195635, -0.138824, -0.207202, -0.263583, 0.218262,  
Speed[A/fs],0.0114326, 0.444884, 0.495621, 0.292711, 0.404646, 0.525338, 0.31229, 

C2H6_10_5r21, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.337919974842189, 0.3699518850776828, 0.3579393109857674, 0.2187504408369798, 0.3038330753723873, 0.364702387178845, 0.05858187424208626, 
Time[fs], 86.500000, 39.000000, 40.500000, 56.500000, 43.500000, 39.000000, 52.500000, 
Density Sum, 9.011678948535938
X Velocity[A/fs], 0.00325598, 0.372199, -0.343709, -0.0310012, -0.310446, 0.375868, 0.0118647,  
Y Velocity[A/fs],0.0169819, 0.224195, 0.241091, 0.219275, -0.271102, -0.174342, -0.24927,  
Z Velocity[A/fs],-0.00771812, 0.18553, 0.212648, -0.209196, -0.238532, -0.249421, 0.235334,  
Speed[A/fs],0.0189355, 0.472459, 0.470617, 0.30464, 0.476204, 0.483614, 0.343013, 

C2H6_10_5r19, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.146758058531907, 0.2634959437848481, 0.3426519822681913, 0.325042196054543, 0.1164077740818663, 0.3450980244519038, 0.4698353208181998, 
Time[fs], 77.000000, 49.000000, 35.000000, 51.500000, 48.500000, 35.500000, 48.000000, 
Density Sum, 9.009289299991458
X Velocity[A/fs], 0.00144241, 0.22081, -0.452733, 0.0444328, -0.261425, 0.449848, -0.0188563,  
Y Velocity[A/fs],0.00284515, 0.255321, 0.156395, 0.251535, -0.247847, -0.163803, -0.272415,  
Z Velocity[A/fs],0.00991681, 0.250902, 0.204185, -0.192291, -0.26257, -0.173267, 0.183561,  
Speed[A/fs],0.0104172, 0.420592, 0.52069, 0.319718, 0.445774, 0.509133, 0.32903, 

C2H6_10_5r2, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.382644592567545, 0.4468449775111382, 0.1245770154992291, 0.1666273490808348, 0.244282974770895, 0.3470640644037155, 0.115934941551186, 
Time[fs], 73.000000, 35.500000, 47.000000, 47.500000, 39.000000, 43.000000, 44.000000, 
Density Sum, 8.827975915384545
X Velocity[A/fs], -0.00289016, 0.435411, -0.169509, 0.0267893, -0.375151, 0.303313, -0.0652218,  
Y Velocity[A/fs],0.00126733, 0.0349698, 0.27982, 0.278158, -0.216846, -0.193832, -0.323645,  
Z Velocity[A/fs],0.0179908, 0.23322, 0.267513, -0.201009, -0.2435, -0.249142, 0.252001,  
Speed[A/fs],0.0182655, 0.495174, 0.422606, 0.34423, 0.497044, 0.437769, 0.415336, 

C2H6_10_5r22, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.00099879003731, 0.3547070744526602, 0.1838489118739708, 0.5461449930232924, 0.2294135056048651, 0.1689536305844472, 0.4337918521571635, 
Time[fs], 90.000000, 34.500000, 42.500000, 49.000000, 37.000000, 45.000000, 51.500000, 
Density Sum, 8.917858757733711
X Velocity[A/fs], 0.00482295, 0.465676, -0.329888, -0.00902346, -0.418645, 0.307775, 0.0211379,  
Y Velocity[A/fs],-0.00116747, 0.148683, 0.23957, 0.2689, -0.175135, -0.214789, -0.24904,  
Z Velocity[A/fs],0.00576345, 0.213962, 0.259498, -0.158187, -0.246554, -0.276145, 0.211899,  
Speed[A/fs],0.00760534, 0.533611, 0.48328, 0.312109, 0.516454, 0.465957, 0.327672, 

C2H6_10_5r7, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 6.87722883248353, 0.3710500597347109, 0.4904619768736417, 0.2567550440551595, 0.5651134747123978, 0.1871367810585573, 0.4540420587388875, 
Time[fs], 120.000000, 41.000000, 41.500000, 51.500000, 39.500000, 43.000000, 52.000000, 
Density Sum, 9.201788227656884
X Velocity[A/fs], 0.00139988, 0.353558, -0.341154, 0.0296124, -0.365791, 0.340306, -0.0166675,  
Y Velocity[A/fs],0.000329473, 0.206043, 0.217415, 0.288921, -0.194454, -0.266946, -0.27941,  
Z Velocity[A/fs],0.0153491, 0.282283, 0.205464, -0.211832, -0.196057, -0.238627, 0.197389,  
Speed[A/fs],0.0154163, 0.497133, 0.45373, 0.359479, 0.458316, 0.493974, 0.342506, 

C2H6_10_5r8, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.412249072211952, 0.1348735914084089, 0.2294929335369137, 0.3385530793475425, 0.4743149640743357, 0.1746592258392936, 0.3393889413194706, 
Time[fs], 74.500000, 48.500000, 39.000000, 60.000000, 41.500000, 44.000000, 51.500000, 
Density Sum, 9.103531807737918
X Velocity[A/fs], -0.000935023, 0.260635, -0.377451, 0.010445, -0.315951, 0.303338, -0.0194929,  
Y Velocity[A/fs],0.000867123, 0.260826, 0.166505, 0.178759, -0.156592, -0.271045, -0.236494,  
Z Velocity[A/fs],-0.00526872, 0.21846, 0.236751, -0.168606, -0.23614, -0.243074, 0.162452,  
Speed[A/fs],0.00542085, 0.428586, 0.475651, 0.245951, 0.424392, 0.473882, 0.287577, 

C2H6_10_5r6, C2H[0][1][4], H[2], H[3], H[5], H[6], H[7], 
Densities, 7.694655590143429, 0.3463374974477205, 0.2727825970075467, 0.1740686163622496, 0.3265918406884432, 0.604502991671356, 
Time[fs], 75.500000, 41.500000, 47.000000, 43.500000, 44.000000, 75.500000, 
Density Sum, 9.418939133320748
X Velocity[A/fs], 0.000245611, 0.339053, -0.27203, -0.319303, 0.312191, 0.000523197,  
Y Velocity[A/fs],0.0076169, 0.217036, 0.233789, -0.265086, -0.178892, -0.0180511,  
Z Velocity[A/fs],0.00686479, 0.223305, 0.238698, -0.21508, -0.215145, 0.10082,  
Speed[A/fs],0.0102568, 0.460355, 0.430853, 0.467423, 0.419229, 0.102425, 

C2H6_10_5r1, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.052694436429922, 0.3786476238171865, 0.4641397001326205, 0.2169269706802253, 0.5228508111760032, 0.2281973522802132, 0.1272759239315508, 
Time[fs], 120.000000, 43.500000, 37.500000, 50.000000, 38.000000, 42.000000, 46.000000, 
Density Sum, 8.990732818447722
X Velocity[A/fs], -5.02498e-05, 0.32345, -0.399305, 0.0520232, -0.389973, 0.345782, -0.00610128,  
Y Velocity[A/fs],0.00120901, 0.221367, 0.16988, 0.292885, -0.124498, -0.239958, -0.332635,  
Z Velocity[A/fs],-0.000750439, 0.253457, 0.222077, -0.231814, -0.236817, -0.298894, 0.227538,  
Speed[A/fs],0.00142386, 0.466759, 0.487465, 0.377128, 0.472928, 0.51622, 0.403059, 

C2H6_10_5r9, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.264811652618697, 0.1153988853165846, 0.4220063614033133, 0.1597866073993601, 0.5500834476435467, 0.2901381637736964, 0.08794323476963495, 
Time[fs], 68.500000, 45.000000, 36.000000, 47.500000, 44.000000, 40.500000, 48.500000, 
Density Sum, 8.890168352924832
X Velocity[A/fs], 0.00070187, 0.270985, -0.413862, 0.0218209, -0.278955, 0.355232, -0.0187776,  
Y Velocity[A/fs],0.0132558, 0.251841, 0.164033, 0.293529, -0.177493, -0.242907, -0.295281,  
Z Velocity[A/fs],0.0198543, 0.285448, 0.227232, -0.200862, -0.248741, -0.218037, 0.181495,  
Speed[A/fs],0.0238831, 0.467266, 0.499823, 0.356344, 0.413753, 0.482425, 0.347108, 

C2H6_10_5r24, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.462744254363967, 0.2253091483952341, 0.2137821062724901, 0.294536960317107, 0.3143103020683842, 0.1944517614960257, 0.3057529021748889, 
Time[fs], 68.000000, 42.000000, 38.500000, 60.500000, 40.500000, 37.000000, 58.500000, 
Density Sum, 9.010887435088097
X Velocity[A/fs], 0.000154576, 0.326029, -0.380186, 0.0232063, -0.324853, 0.411109, -0.00647261,  
Y Velocity[A/fs],-0.00512251, 0.192614, 0.240127, 0.169178, -0.202399, -0.208514, -0.180238,  
Z Velocity[A/fs],0.00708025, 0.278498, 0.199855, -0.161584, -0.236075, -0.195985, 0.152991,  
Speed[A/fs],0.00874036, 0.47006, 0.492081, 0.235094, 0.449695, 0.500898, 0.236503, 

C2H6_10_5r20, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.324821988106946, 0.4122549910141445, 0.3616637700988945, 0.08227006900202492, 0.3919184470509076, 0.2356478931179126, 0.2235436234168535, 
Time[fs], 120.000000, 38.000000, 43.000000, 51.500000, 40.000000, 40.500000, 52.500000, 
Density Sum, 9.032120781807683
X Velocity[A/fs], -0.000974877, 0.39571, -0.317534, 0.00188738, -0.364543, 0.358083, -0.00674602,  
Y Velocity[A/fs],-0.0105878, 0.16121, 0.258922, 0.266423, -0.228543, -0.20708, -0.259189,  
Z Velocity[A/fs],0.0168851, 0.216676, 0.217759, -0.2488, -0.218774, -0.2891, 0.198856,  
Speed[A/fs],0.0199539, 0.479087, 0.46399, 0.364536, 0.482686, 0.504663, 0.326754, 

