C4H10_7_5_low_r15, C4H5[0][1][4][5][2][7][3][11][12], H[6], H[8], H[9], H[10], H[13], 
Densities, 18.12931543968539, 0.545790690268626, 0.2783911085216841, 0.5049501356831758, 0.7202506887704617, 0.3174480970018317, 
Time[fs], 45.000000, 42.500000, 45.000000, 45.000000, 45.000000, 42.500000, 
Density Sum, 20.49614615993117
X Velocity[A/fs], -3.88224e-05, -0.335516, -0.190772, 0.153974, 0.0249879, 0.363323,  
Y Velocity[A/fs],-0.0105415, -0.059975, 0.225286, 0.182878, 0.0093993, -0.0718748,  
Z Velocity[A/fs],0.00467881, -0.0910499, 0.0086276, -0.00276828, -0.0436784, 0.115112,  
Speed[A/fs],0.0115332, 0.352786, 0.295334, 0.239082, 0.0511913, 0.387841, 

C4H10_7_5_low_r6, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.6572598164534, 0.5115254540577248, 0.7247146955087905, 0.339312203776866, 0.2101155317245116, 0.6559375716281023, 0.4387677894592151, 
Time[fs], 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 
Density Sum, 20.53763306260861
X Velocity[A/fs], 0.000716515, -0.30725, -0.0279191, -0.138758, 0.123855, 0.0303134, 0.312903,  
Y Velocity[A/fs],-0.00924626, -0.0571417, 0.0136528, 0.163827, 0.151985, 0.013849, -0.0600306,  
Z Velocity[A/fs],-1.00539e-05, -0.105338, 0.0391128, 0.00092923, 0.00580189, -0.0309894, 0.0947032,  
Speed[A/fs],0.00927398, 0.329794, 0.0499568, 0.214695, 0.196145, 0.0455087, 0.332387, 

C4H10_7_5_low_r7, C4H5[0][1][4][5][2][7][3][11][12], H[6], H[8], H[9], H[10], H[13], 
Densities, 18.22966337452425, 0.5250880931935913, 0.4414299202983561, 0.2288720888200757, 0.6289626363412875, 0.4590180548712993, 
Time[fs], 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 
Density Sum, 20.51303416804886
X Velocity[A/fs], 0.000981565, -0.300545, -0.141184, 0.122925, 0.0305094, 0.315054,  
Y Velocity[A/fs],-0.0119991, -0.0587176, 0.165737, 0.144592, 0.029435, -0.0538353,  
Z Velocity[A/fs],0.000252014, -0.0983783, -0.0064214, 0.00193106, 0.00700778, 0.0979273,  
Speed[A/fs],0.0120418, 0.321642, 0.217814, 0.189792, 0.0429692, 0.334286, 

C4H10_7_5_low_r3, C4H6[0][1][4][5][2][7][3][10][11][12], H[6], H[8], H[9], H[13], 
Densities, 19.02450938639054, 0.520122420061907, 0.3295710907607111, 0.2449959462839167, 0.4036558518672088, 
Time[fs], 46.500000, 42.500000, 46.500000, 46.500000, 43.500000, 
Density Sum, 20.52285469536428
X Velocity[A/fs], 0.0107103, -0.343466, -0.156491, 0.165007, 0.347366,  
Y Velocity[A/fs],-0.00945153, -0.057427, 0.194432, 0.192014, -0.0715045,  
Z Velocity[A/fs],0.00243339, -0.102287, -0.00693917, 0.00424561, 0.118266,  
Speed[A/fs],0.0144901, 0.362946, 0.249683, 0.253208, 0.373849, 

C4H10_7_5_low_r8, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.66740589927357, 0.367718167012935, 0.5779865249948255, 0.4930888652024265, 0.4832344537337861, 0.7437908704200621, 0.2057577201782678, 
Time[fs], 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 
Density Sum, 20.53898250081587
X Velocity[A/fs], -0.000771242, -0.308348, -0.0302961, -0.0980278, 0.0860405, 0.0291498, 0.340705,  
Y Velocity[A/fs],-0.00709961, -0.0521684, 0.0173236, 0.124528, 0.11121, 0.0155489, -0.059169,  
Z Velocity[A/fs],-0.000259114, -0.102828, 0.0189786, -0.00864654, 0.0114794, -0.0173904, 0.0957396,  
Speed[A/fs],0.00714608, 0.329201, 0.0397259, 0.158718, 0.141076, 0.0373351, 0.358813, 

C4H10_7_5_low_r11, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.66077865093316, 0.3266093530642581, 0.6904547999952968, 0.5107005262190671, 0.3501669340219751, 0.5909916566108683, 0.3595265689873723, 
Time[fs], 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 
Density Sum, 20.489228489832
X Velocity[A/fs], 0.000555679, -0.31341, -0.0323884, -0.132904, 0.104838, 0.0290894, 0.327689,  
Y Velocity[A/fs],-0.0107067, -0.057199, 0.0264356, 0.15989, 0.125557, 0.0261203, -0.0622267,  
Z Velocity[A/fs],-0.000506945, -0.107269, 0.00846052, 0.00190892, 0.00940241, 0.0158014, 0.110003,  
Speed[A/fs],0.0107331, 0.336161, 0.0426548, 0.207923, 0.163841, 0.042168, 0.351216, 

C4H10_7_5_low_r14, C4H6[0][1][4][5][2][7][3][10][11][12], H[6], H[8], H[9], H[13], 
Densities, 18.88362812211669, 0.5095417246000764, 0.4629372672221366, 0.2114479245649309, 0.429279495468556, 
Time[fs], 50.000000, 43.500000, 50.000000, 50.000000, 43.000000, 
Density Sum, 20.49683453397239
