C4H10_7_5z_r5, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Densities, 20.43695527070431, 0.2790351560482256, 0.318397740729828, 0.5858215052166929, 
Time[fs], 78.500000, 78.500000, 51.500000, 56.000000, 
Density Sum, 21.62020967269905
X Velocity[A/fs], 0.0017303, -0.227408, -0.0972854, 0.0910025,  
Y Velocity[A/fs],-0.00558007, -0.0533424, 0.147874, 0.0904681,  
Z Velocity[A/fs],-0.00299254, 0.162601, -0.355078, 0.284174,  
Speed[A/fs],0.00656402, 0.284603, 0.396751, 0.311803, 

C4H10_7_5z_r1, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.39583271399793, 0.1625685960630289, 0.2470730856496701, 
Time[fs], 61.000000, 50.000000, 45.000000, 
Density Sum, 21.80547439571063
X Velocity[A/fs], 0.0134185, -0.0967319, 0.0534929,  
Y Velocity[A/fs],-0.00478332, 0.13741, 0.132878,  
Z Velocity[A/fs],-0.015063, -0.341601, 0.369602,  
Speed[A/fs],0.0207324, 0.380697, 0.396388, 

C4H10_7_5z_r17, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.22199807766071, 0.3125924683043847, 0.3179954794875419, 
Time[fs], 68.500000, 52.000000, 51.000000, 
Density Sum, 21.85258602545263
X Velocity[A/fs], 0.00264037, -0.0355563, 0.0759224,  
Y Velocity[A/fs],-0.0103299, 0.171692, 0.162145,  
Z Velocity[A/fs],0.00120385, -0.324703, 0.32881,  
Speed[A/fs],0.0107298, 0.369018, 0.374395, 

C4H10_7_5z_r47, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.29316168346899, 0.4978128554320798, 0.04131665577907676, 
Time[fs], 67.000000, 52.000000, 51.000000, 
Density Sum, 21.83229119468015
X Velocity[A/fs], 0.0057648, -0.0489275, 0.0156669,  
Y Velocity[A/fs],-0.00820382, 0.12108, 0.179981,  
Z Velocity[A/fs],-0.00132525, -0.304073, 0.362288,  
Speed[A/fs],0.0101139, 0.33093, 0.404835, 

C4H10_7_5z_r22, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.10986776543818, 0.2014006749775728, 0.3189689060166872, 
Time[fs], 65.500000, 49.500000, 48.000000, 
Density Sum, 21.63023734643244
X Velocity[A/fs], 0.00194183, -0.0278082, 0.0786575,  
Y Velocity[A/fs],-0.0119218, 0.120274, 0.156436,  
Z Velocity[A/fs],-0.00757593, -0.364515, 0.349294,  
Speed[A/fs],0.0142582, 0.384851, 0.390725, 

C4H10_7_5z_r37, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.08579623639874, 0.4723473970995901, 0.1961085341183755, 
Time[fs], 62.500000, 49.000000, 46.500000, 
Density Sum, 21.7542521676167
X Velocity[A/fs], 0.00538584, -0.0554447, 0.0546601,  
Y Velocity[A/fs],-0.00446092, 0.133343, 0.142083,  
Z Velocity[A/fs],-0.00631084, -0.322244, 0.380843,  
Speed[A/fs],0.00941986, 0.353123, 0.410142, 

C4H10_7_5z_r2, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.03847100206216, 0.2246951904794285, 0.6201816077672603, 
Time[fs], 77.500000, 50.000000, 56.000000, 
Density Sum, 21.88334780030885
X Velocity[A/fs], 0.00444304, -0.0379947, 0.0746352,  
Y Velocity[A/fs],-0.00108747, 0.167271, 0.137368,  
Z Velocity[A/fs],-0.00345299, -0.376473, 0.273118,  
Speed[A/fs],0.00573118, 0.413709, 0.314696, 

C4H10_7_5z_r10, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
