r5, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.36740733770948, 
Time[fs], 120.000000, 
Density Sum, 20.36740733770948
X Velocity[A/fs], 0.00927239,  
Y Velocity[A/fs],-0.00944621,  
Z Velocity[A/fs],0.000592203,  
Speed[A/fs],0.0132499, 

r52, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.59655369309753, 
Time[fs], 120.000000, 
Density Sum, 20.59655369309753
X Velocity[A/fs], 0.00499865,  
Y Velocity[A/fs],0.00542975,  
Z Velocity[A/fs],-0.00343955,  
Speed[A/fs],0.00814243, 

r44, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.34710503113554, 
Time[fs], 120.000000, 
Density Sum, 20.34710503113554
X Velocity[A/fs], -0.00740066,  
Y Velocity[A/fs],-0.00118466,  
Z Velocity[A/fs],-0.00224789,  
Speed[A/fs],0.00782472, 

r24, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.45197791684523, 
Time[fs], 120.000000, 
Density Sum, 20.45197791684523
X Velocity[A/fs], 0.000114968,  
Y Velocity[A/fs],-0.00940595,  
Z Velocity[A/fs],-0.00357704,  
Speed[A/fs],0.0100638, 

r7, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.49840973236213, 
Time[fs], 120.000000, 
Density Sum, 20.49840973236213
X Velocity[A/fs], 0.00616231,  
Y Velocity[A/fs],0.00957568,  
Z Velocity[A/fs],-0.00342383,  
Speed[A/fs],0.0118908, 

r43, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.43155999635705, 
Time[fs], 120.000000, 
Density Sum, 20.43155999635705
X Velocity[A/fs], 0.0023211,  
Y Velocity[A/fs],-0.00177221,  
Z Velocity[A/fs],0.00158687,  
Speed[A/fs],0.00332361, 

r37, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.52751660959567, 
Time[fs], 120.000000, 
Density Sum, 20.52751660959567
X Velocity[A/fs], 0.00364926,  
Y Velocity[A/fs],0.000293655,  
Z Velocity[A/fs],-0.0061806,  
Speed[A/fs],0.00718353, 

r55, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.60953949151471, 
Time[fs], 120.000000, 
Density Sum, 20.60953949151471
X Velocity[A/fs], 0.00328046,  
Y Velocity[A/fs],0.00780044,  
Z Velocity[A/fs],-0.00402498,  
Speed[A/fs],0.00937063, 

r54, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.59051755716017, 
Time[fs], 120.000000, 
Density Sum, 20.59051755716017
X Velocity[A/fs], 0.00179777,  
Y Velocity[A/fs],0.0140711,  
Z Velocity[A/fs],-0.00397676,  
Speed[A/fs],0.0147324, 

r49, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.39919618367016, 
Time[fs], 120.000000, 
Density Sum, 20.39919618367016
X Velocity[A/fs], 0.00726898,  
Y Velocity[A/fs],0.0035122,  
Z Velocity[A/fs],0.00100391,  
Speed[A/fs],0.00813519, 

r9, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.43652056897075, 
Time[fs], 120.000000, 
Density Sum, 20.43652056897075
X Velocity[A/fs], -0.00661779,  
Y Velocity[A/fs],0.00353771,  
Z Velocity[A/fs],-0.0051667,  
Speed[A/fs],0.00911072, 

r48, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.51709937424674, 
Time[fs], 120.000000, 
Density Sum, 20.51709937424674
X Velocity[A/fs], -0.00136484,  
Y Velocity[A/fs],0.00022077,  
Z Velocity[A/fs],0.00313266,  
Speed[A/fs],0.00342419, 

r19, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.38306587366818, 
Time[fs], 120.000000, 
Density Sum, 20.38306587366818
