C2H6_8_5r13, CH2[0][5][6], CH3[1][2][3][7], H[4],

  # iter =120000  time[fs]=********
   C -0.479386981E+01 -0.331481466E+00  0.410834471E+00
   C  0.124134716E+01 -0.416652227E+00 -0.116468279E-01
   H  0.109680776E+01  0.279193957E+00 -0.125628331E+01
   H  0.130802256E+01  0.532552143E+00  0.667095342E+00
   H -0.130366654E+02  0.188203185E+02  0.320765874E-01
   H -0.554653791E+01  0.292030538E+00  0.108389132E+01
   H -0.490714073E+01  0.712413610E+00 -0.552842321E+00
   H  0.197965121E+01 -0.118091883E+01 -0.181653120E+00
