r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209919,   0.201064,  -0.697631,   0.686012,  
Y Velocity[A/fs],  -0.005928,   0.013627,  -0.012719,   0.032869, 
Z Velocity[A/fs],   0.005307,  -0.007842,   0.022700,  -0.020978,  
Speed[A/fs],   0.210070,   0.201678,   0.698116,   0.687119,  
 
r_seed=2,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207518,   0.203036,  -0.694464,   0.691030,  
Y Velocity[A/fs],  -0.000417,   0.003394,  -0.005737,  -0.017017, 
Z Velocity[A/fs],  -0.000872,  -0.007228,  -0.016957,   0.067255,  
Speed[A/fs],   0.207520,   0.203193,   0.694695,   0.694503,  
 
r_seed=3,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206396,   0.204228,  -0.692165,   0.688988,  
Y Velocity[A/fs],   0.023194,  -0.015354,  -0.008042,   0.001335, 
Z Velocity[A/fs],  -0.006735,   0.011581,  -0.006564,   0.012035,  
Speed[A/fs],   0.207804,   0.205132,   0.692243,   0.689095,  
 
r_seed=4,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208727,   0.202967,  -0.691606,   0.687435,  
Y Velocity[A/fs],   0.005452,  -0.009376,   0.011875,  -0.011977, 
