C4H10_14r3, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.531095743757885, 2.235796301865502, 2.234008119158352, 1.935360618605013, 0.0004315588518707161, 0.001274101675064352, 0.03864365831305001, 0.0003183307329522093, 0.002103432810694007, 0.001523669484861305, 0.0006966888843019236, 0.001650258151610852, 0.0001480360487437798, 0.004663077251894913, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 30.000000, 26.500000, 28.000000, 29.500000, 28.500000, 28.000000, 28.500000, 30.000000, 27.500000, 
Density Sum, 8.987713595591794
X Velocity[A/fs], -0.128711, -0.081454, 0.087307, 0.146039, -0.209557, -0.473589, -0.935498, -0.032082, -0.584061, 0.557881, -0.0181783, 0.193792, 0.558596, 0.884999,  
Y Velocity[A/fs],-0.112552, 0.123011, 0.134348, -0.125255, -0.81198, -0.270144, -0.0189545, 0.25385, 0.727945, 0.769296, 0.275696, -0.837964, -0.226426, -0.0672703,  
Z Velocity[A/fs],0.00991199, -0.116965, 0.0989839, -0.0170467, -0.414283, 0.743763, -0.151231, -0.922847, 0.11596, -0.0667186, 0.90443, 0.368615, -0.718351, 0.314802,  
Speed[A/fs],0.171268, 0.188275, 0.188334, 0.19315, 0.935337, 0.922197, 0.947833, 0.957661, 0.940467, 0.952627, 0.945691, 0.935743, 0.937724, 0.941727, 

C4H10_14r2, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.089491305969065, 1.991044261141871, 2.108248062996668, 2.071373018216623, 0.0009289151368277485, 0.003366540788988712, 0.07804532708014139, 0.001039662062623218, 0.004064670288434501, 0.0006632831735702761, 0.003083969368845352, 0.002286023825615054, 0.0003161179595583868, 0.0002977484797102355, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 30.000000, 26.500000, 28.000000, 29.000000, 29.000000, 28.000000, 28.500000, 30.000000, 26.500000, 
Density Sum, 8.354248906488543
X Velocity[A/fs], -0.139049, -0.0957795, 0.0924767, 0.143036, -0.260447, -0.516283, -0.938291, -0.032528, -0.543079, 0.556639, 0.101039, 0.203059, 0.479017, 0.930858,  
Y Velocity[A/fs],-0.131568, 0.135163, 0.123306, -0.125676, -0.837292, -0.218352, -0.0324246, 0.242365, 0.772165, 0.764832, 0.259777, -0.833397, -0.324854, -0.0684622,  
Z Velocity[A/fs],0.00371551, -0.129195, 0.124498, -0.013551, -0.369305, 0.747569, -0.185976, -0.92528, 0.201677, -0.159333, 0.917243, 0.413413, -0.739932, 0.178394,  
Speed[A/fs],0.191464, 0.210081, 0.198131, 0.190886, 0.951461, 0.93439, 0.957094, 0.957049, 0.965323, 0.959272, 0.95866, 0.952205, 0.939407, 0.950267, 

C4H10_14r4, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
