r1: 	C4H5, C3H4, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7, 9], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7, 9], [1, 3], [1, 5], [1, 9], [2, 3, 6, 7], [2, 6], [3, 7]]
r2: 	C4H4, C3H2	[[0, 1, 2, 3, 4, 6, 7, 11], [0, 2], [0, 3], [0, 4], [1, 3, 3, 7, 11], [2, 3], [2, 6], [3, 7], [3, 11]]
r3: 	C4H5, C3H3	[[0, 1, 2, 3, 5, 6, 7, 8, 11], [0, 2], [0, 3], [0, 8], [1, 3, 3, 5, 7, 11], [1, 5], [2, 3], [2, 6], [3, 7], [3, 11]]
r4: 	C4H5, C3H2	[[0, 1, 2, 3, 4, 5, 6, 7, 10], [0, 2], [0, 3], [0, 4], [1, 3, 3, 5, 7], [1, 5], [2, 3], [2, 6], [2, 10], [3, 7]]
r5: 	C2H, C2H3	[[0, 1, 4], [0, 4], [2, 3, 6, 7, 11], [2, 6], [3, 7], [3, 11]]
r6: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r7: 	C4H4, C3H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 3, 3, 5, 7], [1, 5], [2, 3], [2, 6], [3, 7]]
r8: 	C4H4, CH2	[[0, 1, 3, 3, 4, 5, 7, 9], [0, 4], [1, 3], [1, 5], [1, 9], [2, 3], [2, 6, 10], [2, 10], [3, 7]]
r9: 	C4H6, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 2], [0, 4], [0, 8], [1, 3], [1, 5], [1, 9], [2, 3, 6, 7], [2, 6], [3, 7]]
r10: 	C2H4, C2H2	[[0, 1, 4, 5, 8, 9], [0, 4], [0, 8], [1, 5], [1, 9], [2, 3, 10, 11], [2, 10], [3, 11]]
r11: 	C4H7, C3H6, C2H4	[[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7, 9, 10, 11], [1, 3], [1, 5], [1, 9], [2, 3, 6, 7, 10, 11], [2, 6], [2, 10], [3, 7], [3, 11]]
r12: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r13: 	C2H3, C2H2	[[0, 2, 4, 6, 10], [0, 4], [1, 3, 5, 7], [1, 5], [2, 6], [2, 10], [3, 7]]
r14: 	C4H6	[[0, 1, 2, 3, 4, 5, 6, 7, 8, 10], [0, 2], [0, 4], [0, 8], [1, 3], [1, 5], [2, 6], [2, 10], [3, 7]]
r15: 	C4H5, C3H4, C2H3	[[0, 1, 2, 3, 4, 5, 6, 7, 11], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7, 11], [1, 3], [1, 5], [2, 3, 6, 7, 11], [2, 6], [3, 7], [3, 11]]
r16: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r17: 	C4H4	[[0, 1, 2, 3, 4, 5, 7, 9], [0, 2], [0, 4], [1, 5], [1, 9], [2, 3], [3, 7]]
r18: 	C2H3, C2H4	[[0, 2, 4, 8, 10], [0, 4], [0, 8], [1, 3, 5, 7, 9, 11], [1, 5], [1, 9], [2, 10], [3, 7], [3, 11]]
r19: 	C4H7	[[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11], [0, 2], [0, 4], [0, 8], [1, 5], [1, 9], [2, 3], [2, 10], [3, 7], [3, 11]]
r20: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r21: 	C4H7, C2H3	[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], [0, 4], [0, 8], [1, 2], [1, 3], [1, 5], [1, 9], [2, 3, 6, 7, 11], [2, 6], [3, 7], [3, 11]]
r22: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r23: 	C2H4, C2H3	[[0, 2, 4, 6, 8, 10], [0, 4], [0, 8], [1, 3, 5, 7, 11], [1, 5], [2, 6], [2, 10], [3, 7], [3, 11]]
r24: 	C4H7, C3H5, C2H3	[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], [0, 2], [0, 3], [0, 4], [0, 8], [1, 2, 3, 5, 6, 7, 9, 11], [1, 3], [1, 5], [1, 9], [2, 3, 6, 7, 11], [2, 6], [3, 7], [3, 11]]
r25: 	C4H5, C3H4, C2H2	[[0, 1, 2, 3, 4, 5, 7, 9, 10], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 7, 9, 10], [1, 3], [1, 5], [1, 9], [2, 3, 7, 10], [2, 10], [3, 7]]
r26: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r27: 	C4H5, C3H4, C2H3	[[0, 1, 2, 3, 4, 5, 6, 7, 11], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7, 11], [1, 3], [1, 5], [2, 3, 6, 7, 11], [2, 6], [3, 7], [3, 11]]
r28: 	C4H5, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 2], [0, 3], [0, 4], [0, 8], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r29: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r30: 	C4H6, C3H5, C2H3	[[0, 1, 2, 3, 5, 6, 7, 8, 9, 10], [0, 2], [0, 8], [1, 2, 3, 5, 6, 7, 9, 10], [1, 3], [1, 5], [1, 9], [2, 3, 6, 7, 10], [2, 6], [2, 10], [3, 7]]
r31: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r32: 	C4H5	[[0, 1, 2, 3, 4, 5, 6, 7, 10], [0, 2], [0, 4], [1, 3], [1, 5], [2, 6], [2, 10], [3, 7]]
r33: 	C4H6	[[0, 1, 2, 3, 4, 5, 6, 7, 9, 11], [0, 2], [0, 4], [1, 5], [1, 9], [2, 3], [2, 6], [3, 7], [3, 11]]
r34: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r35: 	C4H4, C3H4, C2H3	[[0, 1, 2, 3, 6, 7, 9, 10], [0, 2], [0, 3], [1, 2, 3, 6, 7, 9, 10], [1, 3], [1, 9], [2, 3, 6, 7, 10], [2, 6], [2, 10], [3, 7]]
r36: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r37: 	C4H5, C3H4, C2H3	[[0, 1, 2, 3, 4, 5, 6, 7, 11], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7, 11], [1, 3], [1, 5], [2, 3, 6, 7, 11], [2, 6], [3, 7], [3, 11]]
r38: 	C4H5, C3H4	[[0, 1, 2, 3, 4, 5, 6, 7, 10], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7, 10], [1, 3], [1, 5], [2, 6], [2, 10], [3, 7]]
r39: 	C4H6, C3H5, C2H3	[[0, 1, 2, 3, 4, 5, 6, 7, 9, 10], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7, 9, 10], [1, 3], [1, 5], [1, 9], [2, 3, 6, 7, 10], [2, 6], [2, 10], [3, 7]]
r40: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r41: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r42: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7], [0, 2], [0, 3], [0, 4], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r43: 	C4H3, C3H3, C2H2	[[0, 1, 2, 3, 5, 6, 7], [0, 2], [0, 3], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r44: 	C4H6, C3H4, C2H3	[[0, 1, 2, 3, 4, 5, 6, 7, 8, 10], [0, 2], [0, 3], [0, 4], [0, 8], [1, 2, 3, 5, 6, 7, 10], [1, 3], [1, 5], [2, 3, 6, 7, 10], [2, 6], [2, 10], [3, 7]]
r45: 	C4H6, C3H4, C2H3	[[0, 1, 2, 3, 4, 5, 6, 7, 8, 11], [0, 2], [0, 4], [0, 8], [1, 2, 3, 5, 6, 7, 11], [1, 3], [1, 5], [2, 3, 6, 7, 11], [2, 6], [3, 7], [3, 11]]
r46: 	C4H5, C3H3, C2H2	[[0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 2], [0, 3], [0, 4], [0, 8], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r47: 	C4H3, C3H2	[[0, 1, 2, 3, 5, 6, 7], [0, 2], [0, 3], [1, 3, 3, 5, 7], [1, 5], [2, 3], [2, 6], [3, 7]]
r48: 	C4H4, C3H3, C2H2	[[0, 1, 2, 3, 5, 6, 7, 8], [0, 2], [0, 3], [0, 8], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r49: 	C4H3, C3H3, C2H2	[[0, 1, 2, 3, 5, 6, 7], [0, 2], [0, 3], [1, 2, 3, 5, 6, 7], [1, 3], [1, 5], [2, 3, 6, 7], [2, 6], [3, 7]]
r50: 	C4H	[[0, 1, 2, 3, 5], [0, 2], [1, 5], [2, 3]]
